primary_type,date,value
ARSON,2015-11-13,1
ARSON,2015-11-15,1
ARSON,2015-11-16,3
ARSON,2015-11-17,2
ARSON,2015-11-18,2
ARSON,2015-11-19,1
ARSON,2015-11-21,1
ARSON,2015-11-23,3
ARSON,2015-11-24,1
ARSON,2015-11-25,2
ARSON,2015-11-26,1
ARSON,2015-11-27,2
ARSON,2015-11-28,1
ARSON,2015-11-29,1
ARSON,2015-12-01,2
ARSON,2015-12-03,1
ARSON,2015-12-05,2
ARSON,2015-12-06,3
ARSON,2015-12-07,1
ARSON,2015-12-08,3
ARSON,2015-12-09,1
ARSON,2015-12-10,1
ARSON,2015-12-11,1
ARSON,2015-12-14,1
ARSON,2015-12-15,1
ARSON,2015-12-16,1
ARSON,2015-12-17,1
ARSON,2015-12-20,2
ARSON,2015-12-21,1
ARSON,2015-12-23,2
ARSON,2015-12-25,1
ARSON,2015-12-26,1
ARSON,2015-12-27,3
ARSON,2015-12-30,1
ARSON,2015-12-31,2
ARSON,2016-01-01,1
ARSON,2016-01-03,1
ARSON,2016-01-04,2
ARSON,2016-01-06,2
ARSON,2016-01-07,1
ARSON,2016-01-08,2
ARSON,2016-01-09,2
ARSON,2016-01-11,1
ARSON,2016-01-12,1
ARSON,2016-01-13,1
ARSON,2016-01-14,3
ARSON,2016-01-15,1
ARSON,2016-01-16,1
ARSON,2016-01-17,3
ARSON,2016-01-18,1
ARSON,2016-01-21,2
ARSON,2016-01-22,2
ARSON,2016-01-23,1
ARSON,2016-01-25,2
ARSON,2016-01-26,2
ARSON,2016-01-27,4
ARSON,2016-01-29,3
ARSON,2016-01-30,1
ARSON,2016-01-31,2
ARSON,2016-02-02,3
ARSON,2016-02-03,2
ARSON,2016-02-04,1
ARSON,2016-02-05,2
ARSON,2016-02-06,2
ARSON,2016-02-07,1
ARSON,2016-02-09,1
ARSON,2016-02-10,1
ARSON,2016-02-11,1
ARSON,2016-02-12,2
ARSON,2016-02-15,2
ARSON,2016-02-19,3
ARSON,2016-02-20,2
ARSON,2016-02-21,1
ARSON,2016-02-23,1
ARSON,2016-02-24,1
ARSON,2016-02-25,2
ARSON,2016-02-26,1
ARSON,2016-02-28,1
ARSON,2016-02-29,1
ARSON,2016-03-03,1
ARSON,2016-03-04,1
ARSON,2016-03-08,3
ARSON,2016-03-10,2
ARSON,2016-03-11,2
ARSON,2016-03-12,2
ARSON,2016-03-13,2
ARSON,2016-03-14,3
ARSON,2016-03-15,1
ARSON,2016-03-16,4
ARSON,2016-03-18,2
ARSON,2016-03-19,1
ARSON,2016-03-20,1
ARSON,2016-03-21,3
ARSON,2016-03-22,1
ARSON,2016-03-23,2
ARSON,2016-03-24,1
ARSON,2016-03-26,2
ARSON,2016-03-27,1
ARSON,2016-03-28,1
ARSON,2016-03-29,4
ARSON,2016-03-30,1
ARSON,2016-04-01,2
ARSON,2016-04-03,1
ARSON,2016-04-04,1
ARSON,2016-04-05,2
ARSON,2016-04-06,1
ARSON,2016-04-07,1
ARSON,2016-04-08,2
ARSON,2016-04-09,1
ARSON,2016-04-10,2
ARSON,2016-04-11,1
ARSON,2016-04-12,1
ARSON,2016-04-13,4
ARSON,2016-04-14,1
ARSON,2016-04-15,1
ARSON,2016-04-16,2
ARSON,2016-04-17,1
ARSON,2016-04-18,3
ARSON,2016-04-19,4
ARSON,2016-04-20,1
ARSON,2016-04-21,1
ARSON,2016-04-22,2
ARSON,2016-04-23,1
ARSON,2016-04-24,3
ARSON,2016-04-25,1
ARSON,2016-04-26,2
ARSON,2016-04-28,2
ARSON,2016-04-29,1
ARSON,2016-04-30,1
ARSON,2016-05-01,1
ARSON,2016-05-02,1
ARSON,2016-05-04,1
ARSON,2016-05-06,1
ARSON,2016-05-07,2
ARSON,2016-05-09,1
ARSON,2016-05-10,2
ARSON,2016-05-11,1
ARSON,2016-05-12,1
ARSON,2016-05-14,6
ARSON,2016-05-15,1
